Temática,Prompt Español,Prompt Inglés,Dificultad
Números2026,"Dibujo de los números ""2026"" decorados con globos, confeti y elementos festivos para colorear solo contornos, celebrando el primer día del año","Outline drawing of the numbers ""2026"" decorated with balloons, confetti and festive elements to color, celebrating the first day of the year",Medio
PaisajeNevado,Dibujo de un paisaje nevado con colinas y árboles para colorear solo contornos,Outline drawing of a snowy landscape with hills and trees to color,Fácil
CoposNieve,Dibujo de copos de nieve de distintos tamaños para colorear solo contornos,Outline drawing of snowflakes of different sizes to color,Fácil
MuñecoNieve,Dibujo de un muñeco de nieve con bufanda y gorro para colorear solo contornos,Outline drawing of a snowman with scarf and hat to color,Medio
MandalaNaturaleza,"Dibujo de mandala con flores, hojas y ramas para colorear solo contornos","Outline drawing of a mandala with flowers, leaves and branches to color",Fácil
ReyesMagos,Dibujo de los Reyes Magos con camellos y regalos caminando por el desierto para colorear solo contornos (5 de enero),Outline drawing of the Three Wise Men with camels and gifts walking through the desert to color (January 5th),Difícil
CasaInvierno,Dibujo de una casa con humo saliendo de la chimenea y árboles para colorear solo contornos,Outline drawing of a house with smoke coming from the chimney and trees to color,Medio
AmigosTé,Dibujo de amigos tomando té y galletas en una sala acogedora para colorear solo contornos,Outline drawing of friends having tea and cookies in a cozy living room to color,Fácil
PatioNevado,Dibujo de un patio con nieve y niños jugando para colorear solo contornos,Outline drawing of a snowy yard with children playing to color,Medio
MandalaAnimales,Dibujo de mandala con animales del bosque y hojas para colorear solo contornos,Outline drawing of a mandala with forest animals and leaves to color,Difícil
Biblioteca,Dibujo de una biblioteca con estanterías y libros abiertos para colorear solo contornos,Outline drawing of a library with bookshelves and open books to color,Medio
LagoInvierno,Dibujo de un lago parcialmente congelado con patinadores para colorear solo contornos,Outline drawing of a partially frozen lake with skaters to color,Medio
Cocina,Dibujo de una cocina rústica con utensilios y comida sobre la mesa para colorear solo contornos,Outline drawing of a rustic kitchen with utensils and food on the table to color,Medio
CaféAmigos,Dibujo de amigos charlando y tomando café en un café acogedor para colorear solo contornos,Outline drawing of friends chatting and having coffee in a cozy cafe to color,Fácil
Esquí,Dibujo de un esquiador descendiendo por la montaña con árboles alrededor para colorear solo contornos,Outline drawing of a skier going down the mountain with trees around to color,Difícil
MandalaFloral,Dibujo de mandala con flores y hojas para colorear solo contornos,Outline drawing of a mandala with flowers and leaves to color,Medio
SalaEstar,"Dibujo de una sala de estar con sofá, lámpara y alfombra para colorear solo contornos","Outline drawing of a living room with sofa, lamp and rug to color",Fácil
